Date,Risk Level,Premium,Suggessted Price
1-Sep-20,Low,$22,
2-Sep-20,Low,$22,
3-Sep-20,Low,$22,
4-Sep-20,Low,$22,
5-Sep-20,Low,$22,
6-Sep-20,Low,$22,
7-Sep-20,Low,$22,
8-Sep-20,Low,$22,
9-Sep-20,Low,$22,
10-Sep-20,Low,$22,
11-Sep-20,Low,$22,
12-Sep-20,Low,$22,
13-Sep-20,Low,$22,
14-Sep-20,Low,$22,
15-Sep-20,Low,$22,
16-Sep-20,Low,$22,
17-Sep-20,Low,$22,
18-Sep-20,Low,$22,
19-Sep-20,Low,$22,
20-Sep-20,Low,$22,
21-Sep-20,Low,$22,
22-Sep-20,Low,$22,
23-Sep-20,Low,$22,
24-Sep-20,Low,$22,
25-Sep-20,Low,$22,
26-Sep-20,Low,$22,
27-Sep-20,Low,$22,
28-Sep-20,Low,$22,
29-Sep-20,Low,$22,
30-Sep-20,Low,$22,
1-Oct-20,Low,$22,
2-Oct-20,Low,$22,
3-Oct-20,Low,$22,
4-Oct-20,Low,$22,
5-Oct-20,Low,$22,
6-Oct-20,Low,$22,
7-Oct-20,Low,$22,
8-Oct-20,Low,$22,
9-Oct-20,Low,$22,
10-Oct-20,Low,$22,
11-Oct-20,Low,$22,
12-Oct-20,Low,$22,
13-Oct-20,Low,$22,
14-Oct-20,Low,$22,
15-Oct-20,Low,$22,
16-Oct-20,Low,$22,
17-Oct-20,Low,$22,
18-Oct-20,Low,$22,
19-Oct-20,Low,$22,
20-Oct-20,Low,$22,
21-Oct-20,Low,$22,
22-Oct-20,Low,$22,
23-Oct-20,Low,$22,
24-Oct-20,Low,$22,
25-Oct-20,Low,$22,
26-Oct-20,Low,$22,
27-Oct-20,Low,$22,
28-Oct-20,Low,$22,
29-Oct-20,Low,$22,
30-Oct-20,Low,$22,
31-Oct-20,Low,$22,
1-Nov-20,Low,$22,
2-Nov-20,Low,$22,
3-Nov-20,Low,$22,
4-Nov-20,Low,$22,
5-Nov-20,Low,$22,
6-Nov-20,Low,$22,
7-Nov-20,Low,$22,
8-Nov-20,Low,$22,
9-Nov-20,Low,$22,
10-Nov-20,High,$22,$1500
11-Nov-20,High,$22,$1500
12-Nov-20,High,$22,$1500
13-Nov-20,High,$22,$1500
14-Nov-20,High,$22,$1500
15-Nov-20,High,$22,$1500
16-Nov-20,Mid,$22,$1000
17-Nov-20,Mid,$22,$1000
18-Nov-20,Low,$22,
19-Nov-20,Low,$22,
20-Nov-20,Low,$22,
21-Nov-20,Low,$22,
22-Nov-20,Low,$22,
23-Nov-20,Low,$22,
24-Nov-20,Low,$22,
25-Nov-20,Low,$22,
26-Nov-20,Low,$22,
27-Nov-20,Low,$22,
28-Nov-20,Low,$22,
29-Nov-20,High,$22,$1500
30-Nov-20,High,$22,$1500
1-Dec-20,High,$22,$1500
2-Dec-20,High,$22,$1500
3-Dec-20,High,$22,$1500
4-Dec-20,Mid,$22,$1000
5-Dec-20,Mid,$22,$1000
6-Dec-20,Low,$22,
7-Dec-20,Low,$22,
8-Dec-20,Low,$22,
9-Dec-20,Low,$22,
10-Dec-20,Low,$22,
11-Dec-20,Low,$22,
12-Dec-20,Low,$22,
13-Dec-20,Low,$22,
14-Dec-20,Low,$22,
15-Dec-20,Low,$22,
16-Dec-20,Low,$22,
17-Dec-20,Low,$22,
18-Dec-20,Low,$22,
19-Dec-20,Low,$22,
20-Dec-20,Low,$22,
21-Dec-20,Low,$22,
22-Dec-20,Low,$22,
23-Dec-20,Low,$22,
24-Dec-20,Low,$22,
25-Dec-20,Low,$22,
26-Dec-20,Low,$22,
27-Dec-20,Low,$22,
28-Dec-20,Low,$22,
29-Dec-20,Low,$22,
30-Dec-20,Low,$22,
31-Dec-20,Low,$22,
