Date,Risk Level,Premium (USD),Suggessted Price (USD),NotificationID
1-Jan-21,Low,22,22,
2-Jan-21,Low,22,22,
3-Jan-21,Low,22,22,
4-Jan-21,Low,22,22,
5-Jan-21,Low,22,22,
6-Jan-21,Low,22,22,
7-Jan-21,Low,22,22,
8-Jan-21,Low,22,22,
9-Jan-21,Low,22,22,
10-Jan-21,Low,22,22,
11-Jan-21,Low,22,22,
12-Jan-21,Low,22,22,
13-Jan-21,Low,22,22,
14-Jan-21,Low,22,22,
15-Jan-21,Low,22,22,
16-Jan-21,Low,22,22,
17-Jan-21,Low,22,22,
18-Jan-21,Low,22,22,
19-Jan-21,Low,22,22,
20-Jan-21,Low,22,22,
21-Jan-21,Low,22,22,
22-Jan-21,Low,22,22,
23-Jan-21,Low,22,22,
24-Jan-21,Low,22,22,
25-Jan-21,Low,22,22,
26-Jan-21,Low,22,22,
27-Jan-21,Low,22,22,
28-Jan-21,Low,22,22,
29-Jan-21,Low,22,22,
30-Jan-21,Low,22,22,
31-Jan-21,Low,22,22,
1-Feb-21,High,22,1500,6DA58DD8E31A909C019499416C0D5357
2-Feb-21,High,22,1500,6DA58DD8E31A909C019499416C0D5357
3-Feb-21,High,22,1500,6DA58DD8E31A909C019499416C0D5357
4-Feb-21,Mid,22,1000,6DA58DD8E31A909C019499416C0D5357
5-Feb-21,Mid,22,800,6DA58DD8E31A909C019499416C0D5357
6-Feb-21,Mid,22,500,6DA58DD8E31A909C019499416C0D5357
7-Feb-21,Low,22,22,
8-Feb-21,Low,22,22,
9-Feb-21,Low,22,22,
10-Feb-21,Low,22,22,
11-Feb-21,Low,22,22,
12-Feb-21,Low,22,22,
13-Feb-21,Low,22,22,
14-Feb-21,Low,22,22,
15-Feb-21,Low,22,22,
16-Feb-21,Low,22,22,
17-Feb-21,Low,22,22,
18-Feb-21,Low,22,22,
19-Feb-21,Low,22,22,
20-Feb-21,Low,22,22,
21-Feb-21,Low,22,22,
22-Feb-21,Low,22,22,
23-Feb-21,Low,22,22,
24-Feb-21,Low,22,22,
25-Feb-21,Low,22,22,
26-Feb-21,Low,22,22,
27-Feb-21,Low,22,22,
28-Feb-21,Low,22,22,
1-Mar-21,Low,22,22,
2-Mar-21,Low,22,22,
3-Mar-21,Low,22,22,
4-Mar-21,Low,22,22,
5-Mar-21,Low,22,22,
6-Mar-21,Low,22,22,
7-Mar-21,Low,22,22,
8-Mar-21,Low,22,22,
9-Mar-21,Low,22,22,
10-Mar-21,Low,22,22,
11-Mar-21,Low,22,20,
12-Mar-21,Low,22,20,
13-Mar-21,Low,22,20,
14-Mar-21,Low,22,20,
15-Mar-21,Low,22,20,
16-Mar-21,Mid,20,800,
17-Mar-21,Low,22,20,
18-Mar-21,Low,22,20,
19-Mar-21,Low,22,20,
20-Mar-21,Low,22,20,
21-Mar-21,Low,22,20,
22-Mar-21,Low,22,20,
23-Mar-21,Low,22,20,
24-Mar-21,Low,22,20,
25-Mar-21,Low,22,20,
26-Mar-21,Low,22,20,
27-Mar-21,Low,22,20,
28-Mar-21,Low,22,20,
29-Mar-21,Low,22,20,
30-Mar-21,Low,22,20,
31-Mar-21,Low,22,20,
01-Apr-21,Low,22,20,
02-Apr-21,Low,22,22
03-Apr-21,Low,22,22
04-Apr-21,Low,22,22
05-Apr-21,Low,22,22
06-Apr-21,Low,22,22
07-Apr-21,Low,22,22
08-Apr-21,Low,22,22
09-Apr-21,Low,22,22
10-Apr-21,Low,22,22
11-Apr-21,Low,22,22
12-Apr-21,Low,22,50
13-Apr-21,Low,22,22
14-Apr-21,Low,22,22
15-Apr-21,Low,22,22,
16-Apr-21,Low,22,22,
17-Apr-21,Low,22,22,
18-Apr-21,Low,22,20,
19-Apr-21,Low,22,20,
20-Apr-21,Low,22,20,
21-Apr-21,Low,22,20,
22-Apr-21,Low,22,20,
23-Apr-21,Low,22,20,
24-Apr-21,Low,22,20,
25-Apr-21,Low,22,20,
26-Apr-21,Low,22,20,
27-Apr-21,Low,22,20,
28-Apr-21,Low,22,20,
29-Apr-21,Low,22,20,
30-Apr-21,Low,22,20,
01-May-21,Low,22,20,
