notification_id,admin_code,ascii_name,latitude,longitude,population
6DA58DD8E31A909C019499416C0D5357,NV,Goldfield,37.70854,-117.23563,1733
6DA58DD8E31A909C019499416C0D5357,CA,Wilkerson,37.27943,-118.38769,1342
6DA58DD8E31A909C019499416C0D5357,CA,Bridgeport,38.25575,-119.23127,1970
6DA58DD8E31A909C019499416C0D5357,CA,June Lake,37.77965,-119.07542,2333
6DA58DD8E31A909C019499416C0D5357,CA,Walker,38.51491,-119.47683,1647
6DA58DD8E31A909C019499416C0D5357,NV,Smith,38.80047,-119.32738,1453
6DA58DD8E31A909C019499416C0D5357,NV,Smith Valley,38.78421,-119.34425,1469
6DA58DD8E31A909C019499416C0D5357,CA,Big Pine,37.16493,-118.28955,1216
6DA58DD8E31A909C019499416C0D5357,NV,Tonopah,38.06716,-117.23008,1843
6DA58DD8E31A909C019499416C0D5357,CA,West Bishop,37.36104,-118.45511,1342
6DA58DD8E31A909C019499416C0D5357,CA,Dixon Lane-Meadow Creek,37.38639,-118.41527,1275
6DA58DD8E31A909C019499416C0D5357,NV,Hawthorne,38.52464,-118.62458,1320
6DA58DD8E31A909C019499416C0D5357,CA,Bishop,37.36354,-118.39511,1264
6DA58DD8E31A909C019499416C0D5357,CA,Mammoth Lakes,37.64855,-118.97208,2402
