PublicationDate,RiskLevel,Premium,SuggestedPrice,NotificationID
1-Jan-21,Low,22,22,null
2-Jan-21,Low,22,22,null
3-Jan-21,Low,22,22,null
4-Jan-21,Low,22,22,null
5-Jan-21,Low,22,22,null
6-Jan-21,Low,22,22,null
7-Jan-21,Low,22,22,null
8-Jan-21,Low,22,22,null
9-Jan-21,Low,22,22,null
10-Jan-21,Low,22,22,null
11-Jan-21,Low,22,22,null
12-Jan-21,Low,22,22,null
13-Jan-21,Low,22,22,null
14-Jan-21,Low,22,22,null
15-Jan-21,Low,22,22,null
16-Jan-21,Low,22,22,null
17-Jan-21,Low,22,22,null
18-Jan-21,Low,22,22,null
19-Jan-21,Low,22,22,null
20-Jan-21,Low,22,22,null
21-Jan-21,Low,22,22,null
22-Jan-21,Low,22,22,null
23-Jan-21,Low,22,22,null
24-Jan-21,Low,22,22,null
25-Jan-21,Low,22,22,null
26-Jan-21,Low,22,22,null
27-Jan-21,Low,22,22,null
28-Jan-21,Low,22,22,null
29-Jan-21,Low,22,22,null
30-Jan-21,Low,22,22,null
31-Jan-21,Low,22,22,null
1-Feb-21,High,22,1500,6DA58DD8E31A909C019499416C0D5357
2-Feb-21,High,22,1500,6DA58DD8E31A909C019499416C0D5357
3-Feb-21,High,22,1500,6DA58DD8E31A909C019499416C0D5357
4-Feb-21,Mid,22,1000,6DA58DD8E31A909C019499416C0D5357
5-Feb-21,Mid,22,800,6DA58DD8E31A909C019499416C0D5357
6-Feb-21,Mid,22,500,6DA58DD8E31A909C019499416C0D5357
7-Feb-21,Low,22,22,null
8-Feb-21,Low,22,22,null
9-Feb-21,Low,22,22,null
10-Feb-21,Low,22,22,null
11-Feb-21,Low,22,22,null
12-Feb-21,Low,22,22,null
13-Feb-21,Low,22,22,null
14-Feb-21,Low,22,22,null
15-Feb-21,Low,22,22,null
16-Feb-21,Low,22,22,null
17-Feb-21,Low,22,22,null
18-Feb-21,Low,22,22,null
19-Feb-21,Low,22,22,null
20-Feb-21,Low,22,22,null
21-Feb-21,Low,22,22,null
22-Feb-21,Low,22,22,null
23-Feb-21,Low,22,22,null
24-Feb-21,Low,22,22,null
25-Feb-21,Low,22,22,null
26-Feb-21,Low,22,22,null
27-Feb-21,Low,22,22,null
28-Feb-21,Low,22,22,null
1-Mar-21,Low,22,22,null
2-Mar-21,Low,22,22,null
3-Mar-21,Low,22,22,null
4-Mar-21,Low,22,22,null
5-Mar-21,Low,22,22,null
6-Mar-21,Low,22,22,null
7-Mar-21,Low,22,22,null
8-Mar-21,Low,22,22,null
9-Mar-21,Low,22,22,null
10-Mar-21,Low,22,22,null
11-Mar-21,Low,22,20,null
12-Mar-21,Low,22,20,null
13-Mar-21,Low,22,20,null
14-Mar-21,Low,22,20,null
15-Mar-21,Low,22,20,null
16-Mar-21,Mid,800,20,null
17-Mar-21,Low,22,20,null
18-Mar-21,Low,22,20,null
19-Mar-21,Low,22,20,null
20-Mar-21,Low,22,20,null
